Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences
FAM_P509,1_2085,hypothetical protein,6,6
SING_PGOE,1_1675,hypothetical protein,1,1
SING_PGR2,1_1771,hypothetical protein,1,1
SING_PGRY,1_1803,hypothetical protein,1,1
FAM_P510,1_1448,hypothetical protein,5,5
SING_PH8U,1_2411,hypothetical protein,1,1
SING_PHE6,1_2603,hypothetical protein,1,1
SING_PHN2,1_2923,hypothetical protein,1,1
FAM_P511,1_696,hypothetical protein,6,6
FAM_P512,1_562,hypothetical protein,6,6
SING_PI9A,1_3723,hypothetical protein,1,1
FAM_P513,1_4296,hypothetical protein,6,8
SING_PINI,1_4235,hypothetical protein,1,1
FAM_P514,1_2181,hypothetical protein,6,6
FAM_P515,1_2213,hypothetical protein,6,6
FAM_P516,1_2245,hypothetical protein,6,6
FAM_P517,1_2277,hypothetical protein,6,6
FAM_P518,1_2309,hypothetical protein,4,4
FAM_P519,1_2437,hypothetical protein,6,6
FAM_P520,1_2469,hypothetical protein,6,6
FAM_P521,1_2661,hypothetical protein,4,4
FAM_P522,1_2757,hypothetical protein,6,6
FAM_P523,1_2789,hypothetical protein,6,6
FAM_P524,1_2853,hypothetical protein,6,6
FAM_P525,1_2885,hypothetical protein,6,6
FAM_P526,1_2949,hypothetical protein,6,6
FAM_P527,1_3077,hypothetical protein,4,4
FAM_P528,1_3109,hypothetical protein,6,6
FAM_P529,1_3141,hypothetical protein,6,6
FAM_P530,1_3269,hypothetical protein,6,6
FAM_P531,1_3301,hypothetical protein,4,4
FAM_P532,1_3333,hypothetical protein,6,6
FAM_P533,1_3365,hypothetical protein,6,6
FAM_P534,1_3397,hypothetical protein,6,6
FAM_P535,1_3429,hypothetical protein,6,6
FAM_P536,1_3493,hypothetical protein,6,6
FAM_P537,1_3525,hypothetical protein,6,6
SING_P2QT,1_3557,hypothetical protein,1,1
FAM_P538,1_3621,hypothetical protein,6,6
FAM_P539,1_3653,hypothetical protein,3,3
FAM_P540,1_3717,hypothetical protein,6,6
FAM_P541,1_3749,hypothetical protein,6,6
FAM_P542,1_3781,hypothetical protein,6,6
FAM_P543,1_3813,hypothetical protein,6,6
FAM_P544,1_3845,hypothetical protein,6,6
FAM_P545,1_4005,hypothetical protein,4,4
FAM_P546,1_4037,hypothetical protein,6,6
FAM_P547,1_4069,hypothetical protein,6,6
SING_P3AD,1_4261,hypothetical protein,1,1
FAM_P548,1_6,hypothetical protein,6,6
FAM_P549,1_38,hypothetical protein,6,6
FAM_P550,1_230,hypothetical protein,3,3
FAM_P551,1_262,hypothetical protein,6,6
FAM_P552,1_326,hypothetical protein,5,5
FAM_P553,1_358,hypothetical protein,3,3
FAM_P554,1_390,hypothetical protein,5,5
FAM_P555,1_422,hypothetical protein,6,6
FAM_P556,1_486,hypothetical protein,6,6
FAM_P557,1_518,hypothetical protein,6,6
FAM_P558,1_550,hypothetical protein,6,6
FAM_P559,1_582,hypothetical protein,6,6
FAM_P560,1_646,hypothetical protein,6,6
FAM_P561,1_710,hypothetical protein,6,6
FAM_P562,1_742,hypothetical protein,3,3
FAM_P563,1_838,hypothetical protein,6,6
FAM_P564,1_870,hypothetical protein,6,6
FAM_P565,1_902,hypothetical protein,6,6
FAM_P566,1_934,hypothetical protein,6,6
FAM_P567,1_966,hypothetical protein,5,5
FAM_P568,1_1094,hypothetical protein,2,19
FAM_P569,1_1222,hypothetical protein,6,6
FAM_P570,1_1574,hypothetical protein,3,5
FAM_P571,1_1606,hypothetical protein,6,6
FAM_P572,1_1493,hypothetical protein,2,13
FAM_P573,1_1798,hypothetical protein,4,4
FAM_P574,1_1830,hypothetical protein,6,6
FAM_P575,1_1749,hypothetical protein,2,6
FAM_P576,1_1397,hypothetical protein,4,4
FAM_P577,1_1488,hypothetical protein,5,5
FAM_P578,1_1517,hypothetical protein,6,6
FAM_P579,1_1068,hypothetical protein,2,6
FAM_P580,1_2150,hypothetical protein,2,4
FAM_P581,1_1704,hypothetical protein,2,4
FAM_P582,1_2566,hypothetical protein,2,2
FAM_P583,1_2918,hypothetical protein,3,3
FAM_P584,1_2107,hypothetical protein,6,6
FAM_P585,1_2133,hypothetical protein,6,6
FAM_P586,1_2166,hypothetical protein,6,6
FAM_P587,1_2204,hypothetical protein,6,6
FAM_P588,1_2268,hypothetical protein,6,6
FAM_P589,1_2300,hypothetical protein,6,6
FAM_P590,1_2336,hypothetical protein,6,6
FAM_P591,1_2443,hypothetical protein,6,6
FAM_P592,1_2475,hypothetical protein,6,6
FAM_P593,1_798,hypothetical protein,2,4
FAM_P594,1_2656,hypothetical protein,6,6
FAM_P595,1_3526,hypothetical protein,3,3
FAM_P596,1_2748,hypothetical protein,6,6
FAM_P597,1_2780,hypothetical protein,6,6
FAM_P598,1_3654,hypothetical protein,3,3
FAM_P599,1_2825,hypothetical protein,5,5
FAM_P600,1_2858,hypothetical protein,6,6
FAM_P601,1_3750,hypothetical protein,4,4
FAM_P602,1_3014,hypothetical protein,6,6
FAM_P603,1_3046,hypothetical protein,6,6
FAM_P604,1_3174,hypothetical protein,6,6
FAM_P605,1_3238,hypothetical protein,6,6
FAM_P606,1_3284,hypothetical protein,6,6
FAM_P607,1_3323,hypothetical protein,6,6
FAM_P608,1_3353,hypothetical protein,6,6
FAM_P609,1_3382,hypothetical protein,6,6
FAM_P610,1_3421,hypothetical protein,6,6
FAM_P611,1_3475,hypothetical protein,6,6
FAM_P612,1_3503,hypothetical protein,6,6
FAM_P613,1_3542,hypothetical protein,6,6
FAM_P614,1_3577,hypothetical protein,6,6
FAM_P615,1_3614,hypothetical protein,6,6
FAM_P616,1_4582,hypothetical protein,3,3
FAM_P617,1_3681,hypothetical protein,6,6
FAM_P618,1_3713,hypothetical protein,6,6
FAM_P619,1_3743,hypothetical protein,6,6
FAM_P620,1_3775,hypothetical protein,6,6
FAM_P621,1_3806,hypothetical protein,6,6
FAM_P622,1_3835,hypothetical protein,6,6
FAM_P623,1_3861,hypothetical protein,6,6
FAM_P624,1_3891,hypothetical protein,6,6
FAM_P625,1_3924,hypothetical protein,6,6
FAM_P626,1_3995,hypothetical protein,6,6
FAM_P627,1_4026,hypothetical protein,6,6
FAM_P628,1_4058,hypothetical protein,6,6
FAM_P629,1_4092,hypothetical protein,6,6
FAM_P630,1_4123,hypothetical protein,6,6
FAM_P631,1_4155,hypothetical protein,6,6
FAM_P632,1_4243,hypothetical protein,5,5
FAM_P633,1_4273,hypothetical protein,5,5
FAM_P634,1_4305,hypothetical protein,6,6
FAM_P635,1_3585,hypothetical protein,6,6
FAM_P636,1_3396,hypothetical protein,6,6
SING_P879,1_922,hypothetical protein,1,1
SING_P8DH,1_1146,hypothetical protein,1,1
FAM_P637,1_1178,hypothetical protein,2,5
SING_P8LH,1_1434,hypothetical protein,1,1
SING_P8V9,1_1786,hypothetical protein,1,1
FAM_P638,1_1792,hypothetical protein,6,6
SING_P9K5,1_2682,hypothetical protein,1,1
SING_P9LX,1_2746,hypothetical protein,1,1
SING_P9VP,1_3098,hypothetical protein,1,1
SING_PA11,1_3290,hypothetical protein,1,1
SING_PABP,1_3674,hypothetical protein,1,1
SING_PAMD,1_4058,hypothetical protein,1,1
SING_PAN9,1_4090,hypothetical protein,1,1
SING_PAPX,1_4186,hypothetical protein,1,1
SING_PATH,1_4314,hypothetical protein,1,1
SING_PAUD,1_4346,hypothetical protein,1,1
FAM_P639,1_4474,hypothetical protein,2,2
SING_PAZP,1_4538,hypothetical protein,1,1
SING_PB1H,1_4602,hypothetical protein,1,1
FAM_P640,1_3657,hypothetical protein,3,3
SING_PB51,2_14,hypothetical protein,1,1
SING_PB5X,2_46,hypothetical protein,1,1
SING_PB6T,2_78,hypothetical protein,1,1
FAM_P641,1_1497,hypothetical protein,6,6
FAM_P642,1_1406,hypothetical protein,6,6
FAM_P643,1_1356,hypothetical protein,6,6
FAM_P644,1_1585,hypothetical protein,6,6
FAM_P645,1_1615,hypothetical protein,6,6
FAM_P646,1_1647,hypothetical protein,6,6
FAM_P647,1_1679,hypothetical protein,6,6
FAM_P648,1_1712,hypothetical protein,6,6
FAM_P649,1_1744,hypothetical protein,6,6
FAM_P650,1_1772,hypothetical protein,6,6
FAM_P651,1_1803,hypothetical protein,6,6
FAM_P652,1_1833,hypothetical protein,6,6
FAM_P653,1_1865,hypothetical protein,6,6
FAM_P654,1_1899,hypothetical protein,6,6
FAM_P655,1_1931,hypothetical protein,6,6
FAM_P656,1_1352,hypothetical protein,4,6
FAM_P657,1_2014,hypothetical protein,6,8
FAM_P658,1_2028,hypothetical protein,6,6
FAM_P659,1_2064,hypothetical protein,6,6
FAM_P660,1_2090,hypothetical protein,6,6
FAM_P661,1_790,hypothetical protein,3,7
FAM_P662,1_2109,hypothetical protein,6,6
FAM_P663,1_2141,hypothetical protein,6,6
FAM_P664,1_2174,hypothetical protein,6,6
FAM_P665,1_2208,hypothetical protein,6,6
FAM_P666,1_2342,hypothetical protein,6,6
FAM_P667,1_2418,hypothetical protein,6,6
FAM_P668,1_2450,hypothetical protein,5,5
FAM_P669,1_2482,hypothetical protein,6,6
FAM_P670,1_2510,hypothetical protein,6,6
FAM_P671,1_2541,hypothetical protein,6,6
FAM_P672,1_2574,hypothetical protein,6,6
FAM_P673,1_2663,hypothetical protein,6,6
FAM_P674,1_2726,hypothetical protein,6,6
FAM_P675,1_3661,hypothetical protein,3,3
FAM_P676,1_2832,hypothetical protein,5,5
FAM_P677,1_2866,hypothetical protein,4,4
FAM_P678,1_2891,hypothetical protein,6,6
FAM_P679,1_2983,hypothetical protein,6,6
FAM_P680,1_3021,hypothetical protein,6,6
FAM_P681,1_3053,hypothetical protein,6,6
FAM_P682,1_3087,hypothetical protein,6,6
FAM_P683,1_3158,hypothetical protein,6,6
FAM_P684,1_3190,hypothetical protein,6,6
FAM_P685,1_3222,hypothetical protein,6,6
FAM_P686,1_3339,hypothetical protein,6,6
FAM_P687,1_3363,hypothetical protein,6,6
FAM_P688,1_4278,hypothetical protein,3,3
FAM_P689,1_4310,hypothetical protein,4,4
FAM_P690,1_3492,hypothetical protein,6,6
FAM_P691,1_3533,hypothetical protein,6,6
FAM_P692,1_4443,hypothetical protein,4,4
FAM_P693,1_1360,hypothetical protein,4,7
FAM_P694,1_3642,hypothetical protein,6,6
FAM_P695,1_3670,hypothetical protein,6,6
FAM_P696,1_3702,hypothetical protein,6,6
FAM_P697,1_3734,hypothetical protein,6,6
FAM_P698,1_3764,hypothetical protein,6,6
FAM_P699,1_3796,hypothetical protein,5,5
FAM_P700,1_3825,hypothetical protein,6,6
FAM_P701,1_3854,hypothetical protein,6,6
FAM_P702,1_3974,hypothetical protein,6,6
FAM_P703,1_4103,hypothetical protein,6,6
FAM_P704,1_4134,hypothetical protein,6,6
FAM_P705,1_4166,hypothetical protein,6,6
FAM_P706,1_5201,hypothetical protein,3,3
FAM_P707,1_4252,hypothetical protein,6,6
FAM_P708,1_4284,hypothetical protein,6,6
FAM_P709,1_4316,hypothetical protein,6,6
FAM_P710,1_30,hypothetical protein,6,6
FAM_P711,1_58,hypothetical protein,6,6
FAM_P712,1_90,hypothetical protein,6,6
FAM_P713,1_122,hypothetical protein,6,6
FAM_P714,1_158,hypothetical protein,6,6
FAM_P715,1_222,hypothetical protein,4,4
FAM_P716,1_254,hypothetical protein,6,6
FAM_P717,1_478,hypothetical protein,6,6
FAM_P718,1_510,hypothetical protein,6,6
FAM_P719,1_542,hypothetical protein,6,6
FAM_P720,1_574,hypothetical protein,5,5
FAM_P721,1_605,hypothetical protein,6,6
FAM_P722,1_637,hypothetical protein,6,6
FAM_P723,1_669,hypothetical protein,5,5
FAM_P724,1_701,hypothetical protein,6,6
FAM_P725,1_765,hypothetical protein,6,6
FAM_P726,1_797,hypothetical protein,2,4
FAM_P727,1_861,hypothetical protein,6,6
FAM_P728,1_893,hypothetical protein,6,6
FAM_P729,1_957,hypothetical protein,6,6
FAM_P730,1_989,hypothetical protein,6,6
FAM_P731,1_1053,hypothetical protein,2,4
FAM_P732,1_1118,hypothetical protein,6,6
FAM_P733,1_1150,hypothetical protein,4,6
FAM_P734,1_1310,hypothetical protein,4,4
FAM_P735,1_1374,hypothetical protein,6,6
FAM_P736,1_1406,hypothetical protein,6,6
FAM_P737,1_1438,hypothetical protein,6,6
FAM_P738,1_1502,hypothetical protein,2,9
FAM_P739,1_1630,hypothetical protein,6,6
FAM_P740,1_1662,hypothetical protein,6,6
FAM_P741,1_1694,hypothetical protein,6,6
FAM_P742,1_1790,hypothetical protein,6,6
SING_PFGL,1_98,hypothetical protein,1,1
FAM_P743,1_4326,hypothetical protein,4,4
FAM_P744,1_3242,hypothetical protein,6,6
FAM_P745,1_695,hypothetical protein,2,2
SING_PG9X,1_1154,hypothetical protein,1,1
SING_PGBP,1_1218,hypothetical protein,1,1
FAM_P746,1_1881,hypothetical protein,6,6
SING_PHC5,1_2530,hypothetical protein,1,1
SING_PHET,1_2626,hypothetical protein,1,1
SING_PHT1,1_3138,hypothetical protein,1,1
FAM_P747,1_1558,hypothetical protein,4,4
FAM_P748,1_173,hypothetical protein,6,6
FAM_P749,1_108,hypothetical protein,6,6
FAM_P750,1_4029,hypothetical protein,6,6
SING_PIN9,1_4226,hypothetical protein,1,1
FAM_P751,2_13,hypothetical protein,2,2
FAM_P752,2_45,hypothetical protein,2,2
SING_PIZP,2_109,hypothetical protein,1,1
FAM_P753,1_2650,hypothetical protein,2,2
SING_PJ7P,3_145,hypothetical protein,1,1
SING_PJ8L,4_3,hypothetical protein,1,1
SING_PJ9H,4_35,hypothetical protein,1,1
SING_PJAD,4_67,hypothetical protein,1,1
FAM_P754,1_3634,hypothetical protein,6,6
FAM_P755,1_3602,hypothetical protein,6,6
FAM_P756,1_3510,hypothetical protein,3,3
FAM_P757,1_3478,hypothetical protein,6,6
SING_PJID,1_229,hypothetical protein,1,1
FAM_P758,1_3358,hypothetical protein,6,6
FAM_P759,1_3326,hypothetical protein,6,6
FAM_P760,1_3294,hypothetical protein,6,6
FAM_P761,1_3262,hypothetical protein,3,3
FAM_P762,1_3231,hypothetical protein,6,6
FAM_P763,1_3167,hypothetical protein,6,6
FAM_P764,1_3936,hypothetical protein,5,6
FAM_P765,1_3039,hypothetical protein,6,6
FAM_P766,1_3007,hypothetical protein,6,6
FAM_P767,1_2941,hypothetical protein,6,6
FAM_P768,1_2906,hypothetical protein,6,6
FAM_P769,1_2874,hypothetical protein,6,6
FAM_P770,1_2842,hypothetical protein,6,6
FAM_P771,1_2791,hypothetical protein,6,6
FAM_P772,1_2759,hypothetical protein,6,6
FAM_P773,1_2727,hypothetical protein,6,6
FAM_P774,1_2664,hypothetical protein,6,6
FAM_P775,1_2396,hypothetical protein,6,6
FAM_P776,1_2364,hypothetical protein,6,6
SING_PKCL,1_1317,hypothetical protein,1,1
FAM_P777,1_2294,hypothetical protein,6,6
FAM_P778,1_2262,hypothetical protein,6,6
FAM_P779,1_2198,hypothetical protein,6,6
FAM_P780,1_2102,hypothetical protein,6,6
FAM_P781,1_2071,hypothetical protein,6,6
SING_PKLH,1_1637,hypothetical protein,1,1
SING_PKPX,1_1797,hypothetical protein,1,1
FAM_P782,1_1820,hypothetical protein,6,6
FAM_P783,1_1789,hypothetical protein,6,6
FAM_P784,1_1757,hypothetical protein,6,6
FAM_P785,1_1725,hypothetical protein,6,6
FAM_P786,1_1693,hypothetical protein,6,6
FAM_P787,1_1661,hypothetical protein,6,6
FAM_P788,1_1629,hypothetical protein,6,6
FAM_P789,1_1597,hypothetical protein,6,6
FAM_P790,1_1566,hypothetical protein,6,6
FAM_P791,1_1437,hypothetical protein,5,5
FAM_P792,1_1831,hypothetical protein,6,6
FAM_P793,1_1793,hypothetical protein,6,6
FAM_P794,1_1638,hypothetical protein,6,6
FAM_P795,1_2639,hypothetical protein,4,4
FAM_P796,1_1518,hypothetical protein,6,6
FAM_P797,1_1423,hypothetical protein,6,6
FAM_P798,1_1391,hypothetical protein,6,6
FAM_P799,1_2054,hypothetical protein,6,13
FAM_P800,1_2821,hypothetical protein,1,2
FAM_P801,1_559,hypothetical protein,6,6
FAM_P802,1_519,hypothetical protein,6,6
FAM_P803,1_416,hypothetical protein,6,6
FAM_P804,1_343,hypothetical protein,6,6
SING_PLYD,1_3397,hypothetical protein,1,1
SING_PLZ9,1_3429,hypothetical protein,1,1
FAM_P805,1_190,hypothetical protein,6,6
FAM_P806,1_159,hypothetical protein,6,6
FAM_P807,1_91,hypothetical protein,6,6
FAM_P808,1_59,hypothetical protein,6,6
SING_PM91,1_3781,hypothetical protein,1,1
FAM_P809,1_3989,hypothetical protein,2,2
FAM_P810,1_4070,hypothetical protein,6,6
FAM_P811,1_4038,hypothetical protein,4,4
FAM_P812,1_4006,hypothetical protein,4,4
FAM_P813,1_3942,hypothetical protein,6,6
FAM_P814,1_3846,hypothetical protein,6,6
SING_PMPX,2_50,hypothetical protein,1,1
SING_PMRP,2_114,hypothetical protein,1,1
FAM_P815,2_42,hypothetical protein,2,2
FAM_P816,2_10,hypothetical protein,2,2
FAM_P817,2_50,hypothetical protein,3,3
FAM_P818,1_70,hypothetical protein,6,6
FAM_P819,1_102,hypothetical protein,6,6
FAM_P820,1_134,hypothetical protein,3,3
FAM_P821,1_169,hypothetical protein,6,6
FAM_P822,1_201,hypothetical protein,6,6
SING_P7A,1_262,hypothetical protein,1,1
FAM_P823,1_370,hypothetical protein,6,6
FAM_P824,1_403,hypothetical protein,6,6
FAM_P825,1_432,hypothetical protein,6,6
FAM_P826,1_468,hypothetical protein,6,6
FAM_P827,1_500,hypothetical protein,6,6
FAM_P828,1_2577,hypothetical protein,3,3
FAM_P829,1_927,hypothetical protein,6,6
FAM_P830,1_961,hypothetical protein,6,6
FAM_P831,1_991,hypothetical protein,6,6
FAM_P832,1_1024,hypothetical protein,6,6
FAM_P833,1_1238,hypothetical protein,6,6
FAM_P834,1_1386,hypothetical protein,6,6
FAM_P835,1_1418,hypothetical protein,6,6
FAM_P836,1_2777,hypothetical protein,4,4
SING_PVA,1_1126,hypothetical protein,1,1
FAM_P837,1_1621,hypothetical protein,6,6
FAM_P838,1_1688,hypothetical protein,6,6
FAM_P839,1_1785,hypothetical protein,6,6
FAM_P840,1_1382,hypothetical protein,6,6
FAM_P841,1_1414,hypothetical protein,5,5
FAM_P842,1_1574,hypothetical protein,6,6
FAM_P843,1_1638,hypothetical protein,6,6
FAM_P844,1_1670,hypothetical protein,6,6
FAM_P845,1_1702,hypothetical protein,6,6
FAM_P846,1_1734,hypothetical protein,6,6
FAM_P847,1_1958,hypothetical protein,6,6
FAM_P848,1_2118,hypothetical protein,6,6
FAM_P849,1_2150,hypothetical protein,6,6
FAM_P850,1_2246,hypothetical protein,6,6
FAM_P851,1_2278,hypothetical protein,6,6
FAM_P852,1_2310,hypothetical protein,6,6
SING_P1UU,1_2406,hypothetical protein,1,1
SING_P206,1_2598,hypothetical protein,1,1
FAM_P853,1_2758,hypothetical protein,6,6
FAM_P854,1_2886,hypothetical protein,6,6
FAM_P855,1_2950,hypothetical protein,6,6
FAM_P856,1_3078,hypothetical protein,4,4
FAM_P857,1_3110,hypothetical protein,6,6
FAM_P858,1_3142,hypothetical protein,6,6
FAM_P859,1_3206,hypothetical protein,6,6
FAM_P860,1_3302,hypothetical protein,4,4
FAM_P861,1_3334,hypothetical protein,6,6
FAM_P862,1_3366,hypothetical protein,6,6
FAM_P863,1_3398,hypothetical protein,6,6
FAM_P864,1_3430,hypothetical protein,6,6
FAM_P865,1_3494,hypothetical protein,6,6
FAM_P866,1_3526,hypothetical protein,6,6
SING_P2QU,1_3558,hypothetical protein,1,1
FAM_P867,1_3622,hypothetical protein,6,6
SING_P3AE,1_4262,hypothetical protein,1,1
FAM_P868,1_7,hypothetical protein,6,6
FAM_P869,1_36,hypothetical protein,6,6
FAM_P870,1_3468,hypothetical protein,6,6
FAM_P871,1_3537,hypothetical protein,6,6
FAM_P872,1_3570,hypothetical protein,6,6
FAM_P873,1_3607,hypothetical protein,5,5
FAM_P874,1_3644,hypothetical protein,6,6
FAM_P875,1_3674,hypothetical protein,6,6
FAM_P876,1_3706,hypothetical protein,6,6
FAM_P877,1_4671,hypothetical protein,4,4
FAM_P878,1_3768,hypothetical protein,6,6
FAM_P879,1_3799,hypothetical protein,5,5
FAM_P880,1_3883,hypothetical protein,6,6
FAM_P881,1_3916,hypothetical protein,6,6
FAM_P882,1_4107,hypothetical protein,6,6
FAM_P883,1_4170,hypothetical protein,6,6
FAM_P884,1_4288,hypothetical protein,6,6
FAM_P885,1_290,hypothetical protein,2,2
FAM_P886,1_609,hypothetical protein,6,6
FAM_P887,1_769,hypothetical protein,6,6
FAM_P888,1_801,hypothetical protein,5,6
FAM_P889,1_833,hypothetical protein,6,6
FAM_P890,1_865,hypothetical protein,6,6
FAM_P891,1_897,hypothetical protein,6,6
FAM_P892,1_1154,hypothetical protein,2,2
FAM_P893,1_1186,hypothetical protein,2,2
FAM_P894,1_1218,hypothetical protein,2,2
FAM_P895,1_1250,hypothetical protein,2,2
FAM_P896,1_1282,hypothetical protein,2,2
FAM_P897,1_1506,hypothetical protein,2,2
FAM_P898,1_1538,hypothetical protein,2,2
FAM_P899,1_1602,hypothetical protein,2,2
FAM_P900,1_1762,hypothetical protein,2,2
FAM_P901,3_62,hypothetical protein,4,4
SING_PFGP,1_102,hypothetical protein,1,1
FAM_P902,1_699,hypothetical protein,2,2
SING_PG09,1_806,hypothetical protein,1,1
SING_PG15,1_838,hypothetical protein,1,1
SING_PGA1,1_1158,hypothetical protein,1,1
FAM_P903,1_2250,hypothetical protein,6,6
FAM_P904,1_1398,hypothetical protein,2,2
SING_PGRT,1_1798,hypothetical protein,1,1
SING_PGUH,1_1894,hypothetical protein,1,1
FAM_P905,1_1717,hypothetical protein,6,6
FAM_P906,1_1652,hypothetical protein,6,6
SING_PH55,1_2278,hypothetical protein,1,1
FAM_P907,1_1423,hypothetical protein,6,6
SING_PH8P,1_2406,hypothetical protein,1,1
FAM_P908,1_1333,hypothetical protein,4,4
FAM_P909,1_1297,hypothetical protein,6,6
SING_PHEX,1_2630,hypothetical protein,1,1
SING_PHMX,1_2918,hypothetical protein,1,1
FAM_P910,1_819,hypothetical protein,4,8
FAM_P911,1_1903,hypothetical protein,4,4
FAM_P912,1_531,hypothetical protein,4,4
SING_PI4P,1_3558,hypothetical protein,1,1
SING_PI95,1_3718,hypothetical protein,1,1
SING_PIG9,1_3974,hypothetical protein,1,1
SING_PIND,1_4230,hypothetical protein,1,1
SING_PITL,1_4454,hypothetical protein,1,1
FAM_P913,3_21,hypothetical protein,2,3
SING_PJ61,3_85,hypothetical protein,1,1
SING_PJ6X,3_117,hypothetical protein,1,1
SING_PJ8P,4_7,hypothetical protein,1,1
SING_PJ9L,4_39,hypothetical protein,1,1
SING_PJAH,4_71,hypothetical protein,1,1
SING_PJBD,4_103,hypothetical protein,1,1
FAM_P914,1_3630,hypothetical protein,4,4
FAM_P915,1_3598,hypothetical protein,6,6
FAM_P916,1_3571,hypothetical protein,6,6
FAM_P917,1_3445,hypothetical protein,5,5
FAM_P918,1_3387,hypothetical protein,6,6
FAM_P919,1_3290,hypothetical protein,6,6
FAM_P920,1_3258,hypothetical protein,3,3
FAM_P921,1_3227,hypothetical protein,6,6
FAM_P922,1_3195,hypothetical protein,6,6
FAM_P923,1_3163,hypothetical protein,6,6
FAM_P924,1_3129,hypothetical protein,6,6
FAM_P925,1_3097,hypothetical protein,6,6
